registry_id,source_family,source_zip,internal_path,file_name,extension,size_bytes,recommended_decision,boundary_required,claim_scope,quarantine_status,adapter_target,packet_target,runtime_allowed_now,emits_act,emits_decision,source_status,notes
2e935a41a39b9354ef0e77cb,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C024_intuitive_reasoning.yaml,C024_intuitive_reasoning.yaml,.yaml,3002,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
0e2060971c3889305f346e68,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C265_N3_sense_symbolic_integration_node.yaml,C265_N3_sense_symbolic_integration_node.yaml,.yaml,3162,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
78062a8595e99376725c55c2,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C108_empathy_projection_module.yaml,C108_empathy_projection_module.yaml,.yaml,3026,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
2df2e50d2fce7be72800bbb0,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C411_ObsidiaLoop_mentorship_reverse.yaml,C411_ObsidiaLoop_mentorship_reverse.yaml,.yaml,3148,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
722359c735ae89cceebd473b,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C339_activated_node_view.yaml,C339_activated_node_view.yaml,.yaml,2931,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
bc85d561ac884e11beffcd6f,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C069_reformulateur.yaml,C069_reformulateur.yaml,.yaml,2984,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
6d863f35b70d6ca7b611050a,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C430_script_action_candidate.yaml,C430_script_action_candidate.yaml,.yaml,3182,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
25b8567f628c2d1bab86b8ef,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C010_implementation_priority_registry.yaml,C010_implementation_priority_registry.yaml,.yaml,3109,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
20dd33c3e3228ec8ba847dce,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C165_output_route_selector.yaml,C165_output_route_selector.yaml,.yaml,3134,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
58d2313e563772b1d5758c45,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C125_dormant_portal_registry.yaml,C125_dormant_portal_registry.yaml,.yaml,3027,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
