I0802 21:18:53.116795      11 gnss_block_factory.cc:920] Getting SignalSource SignalSource with implementation File_Signal_Source
I0802 21:19:46.060775      53 rtklib_solver.cc:2000] RTKLIB rtkpos error: 06:24:13.55: point pos error (chi-square error nv=8 vv=12.1 cs=10.8)

I0802 21:19:46.813419      53 rtklib_solver.cc:2000] RTKLIB rtkpos error: 06:24:14.35: point pos error (chi-square error nv=8 vv=11.4 cs=10.8)

I0802 21:19:53.543308      29 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 7, satellite GPS PRN 18 (Block III) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:54.817247    4382 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 8
I0802 21:19:54.818483      29 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 6173 ( 0.0030865 s)for satellite GPS PRN 08 (Block IIF) in channel 7
I0802 21:19:55.443316      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 14 (Block III) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:55.521039      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 30 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:55.521749      11 gnss_flowgraph.cc:1914] Channel 1 Idle state
I0802 21:19:55.604637    4417 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 21
I0802 21:19:55.605441      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 7766 ( 0.003883 s)for satellite GPS PRN 21 (Block IIR) in channel 1
I0802 21:19:57.368192    4769 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 3
I0802 21:19:57.368861      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 5862 ( 0.002931 s)for satellite GPS PRN 03 (Block IIF) in channel 5
I0802 21:20:02.501882      29 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 7, satellite GPS PRN 08 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:20:03.030473    4833 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 6
I0802 21:20:03.030473    4833 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 6
I0802 21:20:03.034246      29 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 37776 ( 0.018888 s)for satellite GPS PRN 06 (Block IIF) in channel 7
I0802 21:20:03.666070      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 21 (Block IIR) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:20:06.391027      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 15306 ( 0.007653 s)for satellite GPS PRN 27 (Block IIF) in channel 1
I0802 21:20:06.393460    5076 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 27
I0802 21:20:06.935792      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 03 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:20:07.332178    5122 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 8
I0802 21:20:07.335238      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 5432 ( 0.002716 s)for satellite GPS PRN 08 (Block IIF) in channel 5
I0802 21:20:13.239801      29 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 7, satellite GPS PRN 06 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:20:13.456070    5167 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 16
I0802 21:20:13.456070    5167 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 16
I0802 21:20:13.456271      29 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 2082 ( 0.001041 s)for satellite GPS PRN 16 (Block IIR) in channel 7
I0802 21:20:15.758693      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 27 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:20:16.179140      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 08 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:20:16.180210      11 gnss_flowgraph.cc:1914] Channel 5 Idle state
I0802 21:20:16.392442    5317 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 8
