dry_run_id,node_id,title,matched_tree_id,matched_family_id,matched_signal_type,confidence_source_based,plan_category
PATH_B_DRY_0001,GRAPHITI_V2_000012,020411D2C4F3_risks_confusions.md,T13,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0002,GRAPHITI_V2_000315,1E915A0EC22D_examples_events.md,T13,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0003,GRAPHITI_V2_000379,249F4788A572_tests.md,T13,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0004,GRAPHITI_V2_001557,A6CB8AB83AC3_activation_rules.md,T13,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0005,GRAPHITI_V2_001572,A7F03C78A85C_README.md,T13,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0006,GRAPHITI_V2_002122,E3D0276664DE_definition.md,T13,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0018,GRAPHITI_V2_000358,2234803A5351_README.md,T14,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0019,GRAPHITI_V2_000818,5962C710EAEE_tests.md,T14,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0020,GRAPHITI_V2_001365,919BDDFA2213_examples_events.md,T14,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0021,GRAPHITI_V2_001389,938F45778F0D_activation_rules.md,T14,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0022,GRAPHITI_V2_001788,BCF5E189990C_risks_confusions.md,T14,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0023,GRAPHITI_V2_002039,DB22CB31E55F_definition.md,T14,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0035,GRAPHITI_V2_000084,0A478B3F52A1_README.md,T15,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0036,GRAPHITI_V2_000363,227ADFC3F426_examples_events.md,T15,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0037,GRAPHITI_V2_000622,3E8DBBFC8A07_definition.md,T15,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0038,GRAPHITI_V2_000927,6464914644BC_tests.md,T15,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0039,GRAPHITI_V2_001490,9FFD414E1403_risks_confusions.md,T15,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0040,GRAPHITI_V2_002360,FFC9F20E29C0_activation_rules.md,T15,III_CONNAISSANCE,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0052,GRAPHITI_V2_000007,019474B53D36_README.md,T16,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0053,GRAPHITI_V2_000062,0871679F3710_tests.md,T16,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0054,GRAPHITI_V2_000347,217DF55F426D_risks_confusions.md,T16,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0055,GRAPHITI_V2_000416,2865A246A9F4_activation_rules.md,T16,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0056,GRAPHITI_V2_001351,9046BE559FA9_definition.md,T16,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0057,GRAPHITI_V2_001462,9DFB36703B05_examples_events.md,T16,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0069,GRAPHITI_V2_000116,0CB849B3413D_tests.md,T17,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0070,GRAPHITI_V2_000843,5CA8C8C39A46_risks_confusions.md,T17,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0071,GRAPHITI_V2_000866,5D15042683ED_activation_rules.md,T17,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0072,GRAPHITI_V2_001253,857DA30340D5_examples_events.md,T17,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0073,GRAPHITI_V2_001531,A483FB5F57E9_README.md,T17,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0074,GRAPHITI_V2_001719,B9A9D1051F5A_definition.md,T17,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0086,GRAPHITI_V2_000352,21B4EA5CA8DD_activation_rules.md,T18,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0087,GRAPHITI_V2_000383,24F51462BBAC_README.md,T18,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0088,GRAPHITI_V2_000679,4624D3C91E0D_risks_confusions.md,T18,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0089,GRAPHITI_V2_000694,48AAB2F1C286_demo_output_context_packet.json,T18,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.5,REVIEW_REQUIRED_MULTI_TREE
PATH_B_DRY_0090,GRAPHITI_V2_001488,9FA64479BF66_examples_events.md,T18,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0091,GRAPHITI_V2_001533,A4CC00737730_definition.md,T18,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0092,GRAPHITI_V2_002332,FCA22631120B_tests.md,T18,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0104,GRAPHITI_V2_000102,0B463A904CA9_tests.md,T19,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0105,GRAPHITI_V2_000186,10A5059D8E15_examples_events.md,T19,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
PATH_B_DRY_0106,GRAPHITI_V2_000332,202BED34CED1_definition.md,T19,IV_RELATIONNELS_SOCIAUX,TEXT_PREVIEW_SLUG,0.88,CANDIDATE_TP_GENUINE
